timestamp,raw_torque_j0,smoothed_torque_j0,raw_torque_j1,smoothed_torque_j1,raw_torque_j2,smoothed_torque_j2,raw_torque_j3,smoothed_torque_j3,raw_torque_j4,smoothed_torque_j4,raw_torque_j5,smoothed_torque_j5,raw_torque_j6,smoothed_torque_j6
1765557299392781527,-13.8214,-13.8214,10.2604,10.2604,-6.1294,-6.1294,1.72647,1.72647,0.594715,0.594715,0.533305,0.533305,-0.00891814,-0.00891814
1765557299395040602,-13.7386,-13.7386,10.2354,10.2354,-6.07503,-6.07503,1.73425,1.73425,0.572834,0.572834,0.505057,0.505057,-0.00813785,-0.00813785
1765557299397257074,-14.0201,-14.0201,10.3427,10.3427,-6.25532,-6.25532,1.69058,1.69058,0.648308,0.648308,0.586016,0.586016,-0.0102313,-0.0102313
1765557299399428638,-13.5967,-13.5967,10.2858,10.2858,-5.97091,-5.97091,1.70027,1.70027,0.558955,0.558955,0.434278,0.434278,-0.00645492,-0.00645492
1765557299401576945,-13.7686,-13.7686,10.3181,10.3181,-6.08111,-6.08111,1.68244,1.68244,0.601807,0.601807,0.48557,0.48557,-0.00756484,-0.00756484
1765557299403677900,-13.7454,-13.7454,10.2733,10.2733,-6.07161,-6.07161,1.71088,1.71088,0.581086,0.581086,0.485871,0.485871,-0.0075095,-0.0075095
1765557299405763630,-13.779,-13.779,10.2882,10.2882,-6.09274,-6.09274,1.7054,1.7054,0.589109,0.589109,0.493322,0.493322,-0.0076792,-0.0076792
1765557299407902369,-13.776,-13.776,10.1535,10.1535,-6.11012,-6.11012,1.783,1.783,0.547762,0.547762,0.526637,0.526637,-0.00828639,-0.00828639
1765557299410098657,-13.7688,-13.7688,10.2734,10.2734,-6.08855,-6.08855,1.71559,1.71559,0.579502,0.579502,0.491888,0.491888,-0.00760128,-0.00760128
1765557299412206317,-14.0419,-14.0419,10.3685,10.3685,-6.26368,-6.26368,1.67909,1.67909,0.649784,0.649784,0.570193,0.570193,-0.00959746,-0.00959746
1765557299415237553,-13.81,-13.81,10.2838,10.2838,-6.11459,-6.11459,1.71416,1.71416,0.585166,0.585166,0.498721,0.498721,-0.00769304,-0.00769304
1765557299417516113,-13.7526,-13.7526,10.273,10.273,-6.07747,-6.07747,1.71899,1.71899,0.570632,0.570632,0.479681,0.479681,-0.00722873,-0.00722873
1765557299419577818,-13.8306,-13.8306,10.3085,10.3085,-6.12694,-6.12694,1.70408,1.70408,0.59225,0.59225,0.500251,0.500251,-0.00776589,-0.00776589
1765557299421695535,-13.801,-13.801,10.2965,10.2965,-6.10764,-6.10764,1.70878,1.70878,0.583181,0.583181,0.489584,0.489584,-0.00744813,-0.00744813
1765557299423836858,-13.7866,-13.7866,10.3095,10.3095,-6.09512,-6.09512,1.70068,1.70068,0.583349,0.583349,0.477414,0.477414,-0.00711044,-0.00711044
1765557299426003254,-13.7785,-13.7785,10.3454,10.3454,-6.08512,-6.08512,1.68113,1.68113,0.591344,0.591344,0.464951,0.464951,-0.0068495,-0.0068495
1765557299428172513,-14.0177,-14.0177,10.4676,10.4676,-6.23466,-6.23466,1.62876,1.62876,0.663503,0.663503,0.52625,0.52625,-0.00852474,-0.00852474
1765557299430329620,-13.8387,-13.8387,10.3429,10.3429,-6.12863,-6.12863,1.68858,1.68858,0.596907,0.596907,0.488251,0.488251,-0.00741434,-0.00741434
1765557299432516410,-13.8459,-13.8459,10.3639,10.3639,-6.13048,-6.13048,1.67831,1.67831,0.602211,0.602211,0.483036,0.483036,-0.00726653,-0.00726653
1765557299434699777,-13.865,-13.865,10.3481,10.3481,-6.14611,-6.14611,1.69073,1.69073,0.598232,0.598232,0.492615,0.492615,-0.00746233,-0.00746233
1765557299436837399,-13.8904,-13.8904,10.3423,10.3423,-6.16441,-6.16441,1.69632,1.69632,0.599348,0.599348,0.502203,0.502203,-0.00767458,-0.00767458
1765557299439006169,-13.8617,-13.8617,10.3229,10.3229,-6.14794,-6.14794,1.70731,1.70731,0.586805,0.586805,0.495428,0.495428,-0.00749341,-0.00749341
1765557299441645179,-12.575,-12.575,19.7971,19.7971,-12.7051,-12.7051,-9.48274,-9.48274,-8.62668,-8.62668,-0.0644226,-0.0644226,-15.3086,-15.3086
1765557299443831899,-13.8661,-13.8661,10.4641,10.4641,-6.235,-6.235,1.55847,1.55847,0.486946,0.486946,0.484782,0.484782,-0.189084,-0.189084
1765557299446006676,-13.8439,-13.8439,10.4941,10.4941,-6.21951,-6.21951,1.53621,1.53621,0.484709,0.484709,0.46677,0.46677,-0.197131,-0.197131
1765557299448184386,-14.0046,-14.0046,10.6349,10.6349,-6.33154,-6.33154,1.45453,1.45453,0.519495,0.519495,0.492909,0.492909,-0.235603,-0.235603
1765557299450349804,-13.8499,-13.8499,10.4454,10.4454,-6.20706,-6.20706,1.58106,1.58106,0.498746,0.498746,0.469405,0.469405,-0.15845,-0.15845
1765557299452538898,-13.8499,-13.8499,10.3251,10.3251,-6.19513,-6.19513,1.67246,1.67246,0.499781,0.499781,0.490628,0.490628,-0.108621,-0.108621
1765557299454733650,-13.8269,-13.8269,10.3256,10.3256,-6.18175,-6.18175,1.67188,1.67188,0.489962,0.489962,0.480421,0.480421,-0.1123,-0.1123
1765557299456850389,-13.8518,-13.8518,10.3496,10.3496,-6.20201,-6.20201,1.65646,1.65646,0.491573,0.491573,0.484514,0.484514,-0.123516,-0.123516
